idx,date,hash,a,b,c,d,e,f,g,h,Y
0,20190701,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,101,2,88,176,2,2,0,0,0
1,20190702,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,112,4,88,352,0,0,0,0,0
2,20190703,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,106,1,88,88,0,0,0,0,0
3,20190704,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,89,4,88,352,0,0,0,0,1
4,20190705,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,83,1,88,88,0,0,0,0,0
5,20190706,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,64,1,88,88,0,0,0,0,0
6,20190707,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,60,5,88,440,1,1,0,0,1
7,20190708,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,91,3,84,253,1,0,0,0,0
8,20190709,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,82,3,80,242,0,0,0,0,0
9,20190710,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,93,4,85,341,1,1,3,0,0
10,20190711,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,86,1,88,88,0,0,0,0,0
11,20190712,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,85,3,84,253,1,1,0,0,1
12,20190713,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,55,2,88,176,0,0,0,0,0
13,20190714,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,28,3,88,264,1,1,0,1,1
14,20190715,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,93,6,84,506,2,2,0,0,1
15,20190716,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,114,3,77,231,0,0,0,0,0
16,20190717,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,72,1,88,88,1,1,0,0,0
17,20190718,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,87,1,77,77,1,1,0,2,0
18,20190719,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,73,4,82,330,0,0,0,0,0
19,20190720,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,48,4,88,352,0,0,0,0,0
20,20190721,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,41,3,88,264,1,1,0,0,0
21,20190722,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,68,1,88,88,0,0,0,0,0
22,20190723,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,104,2,82,165,1,1,0,0,0
23,20190724,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,66,0,77,0,0,0,0,0,0
24,20190725,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,63,5,96,484,0,0,0,0,0
25,20190726,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,69,4,93,374,0,0,0,0,0
26,20190727,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,41,5,77,385,2,2,0,0,0
27,20190728,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,32,1,77,77,0,0,0,0,0
28,20190729,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,59,3,110,330,0,0,0,0,0
29,20190730,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,81,3,110,330,0,0,0,0,0
30,20190731,716adcd0325d3422673e820e4cced01f7d84339dc948aafe883f94460cf3de55,93,7,77,539,1,1,1,0,0
31,20190701,2392fc0cbb7be07d65accf1422c3f01ea5d5d7b30c1d758adc8f470c3c8f4d18,53,9,77,693,3,2,1,0,2
